REF,Nom,URL,Inclu ?,Explication RETENU,Fait
NPAN13,20150713_NP_ANSSI_SDE_firewall_short_term_v1.0-en.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_firewall_short_term_v1.0-en.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN14,20151005_NP_ANSSI_SDE_4067_PJ1_diode_court_terme_PJ1.vfp_.pdf,https://messervices.cyber.gouv.fr/documents-guides/20151005_NP_ANSSI_SDE_4067_PJ1_diode_court_terme_PJ1.vfp_.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN15,20150713_NP_ANSSI_SDE_vpn_moyen_terme_v1.0-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_vpn_moyen_terme_v1.0-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
BONN,bonnes_pratiques_securite_informatique_maritime_anssi.pdf,https://messervices.cyber.gouv.fr/documents-guides/bonnes_pratiques_securite_informatique_maritime_anssi.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
FICH4,fiche_methode_homologation_et_ISO27001.pdf,https://messervices.cyber.gouv.fr/documents-guides/fiche_methode_homologation_et_ISO27001.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID15,guide_achat_produits-securite-services-confiance-qualifies_anssi.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide_achat_produits-securite-services-confiance-qualifies_anssi.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS71,anssi_back to basics_domain_controller_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_domain_controller_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
BGPC,bgp-configuration-best-practices.pdf,https://messervices.cyber.gouv.fr/documents-guides/bgp-configuration-best-practices.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS72,anssi_essentiels_hygiene_telephones_mobiles_1.1.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_hygiene_telephones_mobiles_1.1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
THEG,the-golden-rules-of-backup.pdf,https://messervices.cyber.gouv.fr/documents-guides/the-golden-rules-of-backup.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID16,guide-securite-numerique-agile-anssi-pa-v1.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide-securite-numerique-agile-anssi-pa-v1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
FICH5,Fiche_methode_Systeme_dinformation_replique.pdf,https://messervices.cyber.gouv.fr/documents-guides/Fiche_methode_Systeme_dinformation_replique.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID17,guide_configuration_BGP.pdf,https://messervices.cyber.gouv.fr/documents-guides/guide_configuration_BGP.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN16,20230613_np_anssi_sde_automate_moyen_terme_v1-2-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20230613_np_anssi_sde_automate_moyen_terme_v1-2-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN17,20220117_np_anssi_sde_commutateur_court_terme_v1-1-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20220117_np_anssi_sde_commutateur_court_terme_v1-1-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN18,20240814_np_anssi_recommandations_hebergement_cloud_si_a5_v1g_fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/20240814_np_anssi_recommandations_hebergement_cloud_si_a5_v1g_fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NTOP,NT_OpenSSH.pdf,https://messervices.cyber.gouv.fr/documents-guides/NT_OpenSSH.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS73,anssi-guide-recommandations_mise_en_oeuvre_site_web_maitriser_standards_securite_cote_navigateur-v2.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-recommandations_mise_en_oeuvre_site_web_maitriser_standards_securite_cote_navigateur-v2.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
RECO,Recommandations sur la sécurisation des systèmes de contrôle d'accès physique et vidéoprotection - v2.1.pdf,https://messervices.cyber.gouv.fr/documents-guides/Recommandations%20sur%20la%20s%C3%A9curisation%20des%20syst%C3%A8mes%20de%20contr%C3%B4le%20d%27acc%C3%A8s%20physique%20et%20vid%C3%A9oprotection%20-%20v2.1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
PSSI4,pssi-memento-2004-03-03.pdf,https://messervices.cyber.gouv.fr/documents-guides/pssi-memento-2004-03-03.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
